month year,Pcs / Pk,Quantity,UnitPrice,OTIF,Embelishment Cost,TotalQuantity,TotalSales
10/1/2017,2,1000,2.88,,0.18,2000,5760
10/1/2017,2,1000,2.88,,0.24,2000,5760
10/1/2017,2,2500,2.88,,0.18,5000,14400
2/1/2018,3,8720,4.15,,0.18,26160,108564
2/1/2018,3,10760,4.15,,0.37,32280,133962
8/1/2018,3,8500,3.8,,0.17,25500,96900
8/1/2018,3,17550,5.82,,0.053,52650,306423
8/1/2018,3,21000,5.82,,0.053,63000,366660
8/1/2018,3,9050,5.82,,0.053,27150,158013
8/1/2018,7,18000,5.91,,0.207,126000,744660
8/1/2018,7,11025,5.91,,0.15,77175,456104.25
8/1/2018,7,10575,5.91,,0.15,74025,437487.75
8/1/2018,2,2000,2.77,,0.15,4000,11080
8/1/2018,2,1000,2.77,,0.15,2000,5540
8/1/2018,2,3000,2.77,,0.15,6000,16620
12/1/2018,3,10000,2.75,,0,30000,82500
12/1/2018,3,2500,2.33,,0,7500,17475
12/1/2018,3,21720,2.35,,0,65160,153126
12/1/2018,3,19500,5.96,,0.201,58500,348660
12/1/2018,3,18000,2.34,,0,54000,126360
12/1/2018,7,9375,5.96,,0.2,65625,391125
12/1/2018,7,29225,5.96,,0.174,204575,1219267
12/1/2018,2,2780,2.77,,0.15,5560,15401.2
12/1/2018,2,1000,2.77,,0.15,2000,5540
12/1/2018,2,3800,2.77,,0.15,7600,21052
7/1/2018,3,9525,5.82,,0.053,28575,166306.5
7/1/2018,3,7000,5.82,,0.053,21000,122220
7/1/2018,7,10025,5.91,,0.207,70175,414734.25
7/1/2018,7,21950,5.91,,0.15,153650,908071.5
6/1/2018,3,3125,5.82,,0.053,9375,54562.5
6/1/2018,7,7475,5.91,,0.15,52325,309240.75
11/1/2018,3,7500,2.75,,0,22500,61875
11/1/2018,3,2500,2.33,,0,7500,17475
11/1/2018,3,18000,2.34,,0,54000,126360
11/1/2018,7,31875,5.96,,0.2,223125,1329825
10/1/2018,3,10000,2.75,,0,30000,82500
10/1/2018,3,2500,2.33,,0,7500,17475
10/1/2018,3,6000,5.82,,0.053,18000,104760
10/1/2018,3,5000,5.82,,0.053,15000,87300
10/1/2018,3,23000,2.34,,0,69000,161460
10/1/2018,7,3750,5.96,,0.2,26250,156450
10/1/2018,7,10500,5.93,,0.234,73500,435855
9/1/2018,3,8500,3.8,,0.17,25500,96900
9/1/2018,3,7500,2.75,,0,22500,61875
